p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
3,0.0,3,6051,5793,Rio De Janeiro,19/02/2018,0,0.01179575341958583,0.053582622553461134,-0.18399443961078932,-0.05301776379173884,-0.040422021142138775,0.0,0.38232771488035217,0.24911128828273546,0.06904746926748317,-0.022317000973414713,-0.04566642319305503,-0.07533476476515358
3,0.0,4,4887,5370,Rio De Janeiro,19/02/2018,0,0.0224247150166611,-0.09946819366524062,-0.030842724012090816,0.024782503212661955,-0.00895363041762276,0.0,0.20624379234563162,0.15378835422926151,-0.2292423500555824,-0.06586136126485298,-0.030563731542133488,-0.041078858052191025
1,0.0,3,5601,5718,Marseille,19/02/2018,0,-0.046201591048168456,0.04283801874163318,0.016981583353264773,0.020329155862863657,0.02147431819145773,0.0,-0.08139534883720934,0.42441860465116277,0.2804597701149426,0.01765888626628198,0.024333559905612367,0.03798804212914564
2,0.0,2,11429,644,Acapulco,26/02/2018,0,-0.028753141052725195,0.07889690954207085,0.01497584541062802,0.01431562916428708,0.025627620880282143,0.0,-0.39102564102564097,0.01762820512820512,0.0676883780332056,0.049545242278013824,0.042171312490385915,0.0638608714423009
2,0.0,9,4794,11547,Dubai,26/02/2018,0,-0.03703443711265764,-0.13657074632684385,-0.03926332288401252,-0.0589513955308234,-0.07660359944623896,-0.5555555555555556,-0.7178542178542178,-0.07166257166257167,-0.12405609492988134,-0.10934836238191692,-0.10907283886181146,-0.16829975791274032
2,0.0,5,5577,4198,Sao Paulo,26/02/2018,0,-0.007592272241525033,-0.16564811432934945,0.0044857814730171475,0.02668709045905726,-0.014577091682232535,0.0,-0.1564591282895043,-0.15727287763439662,-0.1682566501309859,-0.09761963558377218,-0.04939862528464817,-0.07093254512471503
4,0.0,5,4887,5515,Dubai,26/02/2018,0,-0.0032108723627162217,-0.11590106927711052,-0.06201906072964719,0.02328999535909848,-0.02286259170510785,0.0,0.04079082039578941,0.027701971737645215,-0.0848690734016685,-0.09392397943546582,-0.046958192143755906,-0.07063398407636735
6,-1.0,8,4269,6029,Acapulco,26/02/2018,0,0.09308670149961151,0.04704036748287077,-0.0229444682987055,0.004188744641480446,0.01758153625392833,-0.2368647998353441,0.22186554041363604,0.17525209607070996,-0.03946945212638253,0.037529353240631336,0.02822910747636498,0.04171809788211179
6,0.0,5,25609,5209,Dubai,26/02/2018,0,0.030788326897550733,0.04269636967713619,-0.009558825819684147,0.020120208814388585,0.024207494678724406,0.4096845744560776,0.2783526034571012,-0.08556742790791502,0.014148986787749562,0.02934437542586643,0.03288280378855962,0.04946458424025501
3,0.0,5,6134,5630,Sao Paulo,26/02/2018,0,0.012392031373148815,0.004210646258765216,0.03233324730104281,-0.017407160504241626,-0.002820486234616282,-0.25761214905901864,-0.25001631425819243,-0.10105838368950579,-0.08470278511085516,0.017843973807167846,0.002079678821254094,0.00043681330292622
4,0.0,4,4544,5978,Acapulco,26/02/2018,0,0.06163651509674162,0.027486910994764413,-0.03171682978879975,0.011086173728604543,0.014225689195997981,0.0,1.030037546933667,-0.059136420525657096,-0.10129310344827591,0.02042500353645693,0.020399804267399402,0.031511177265061474
2,0.0,2,11787,6219,Acapulco,26/02/2018,0,0.0023742983766213976,-0.10720548415752762,-0.10389673677989031,0.029665394262686107,-0.01918403310149519,0.0,-0.4838171126475819,0.11799991213353028,-0.2695843707835293,-0.10547181758683544,-0.05346696222869751,-0.07580642332414933
4,0.0,7,4879,5528,Dubai,26/02/2018,0,-0.061663279094325896,-0.08678160919540234,-0.022081208964530696,0.014129382863098283,-0.01968596908424447,-0.14285714285714285,-0.2522088353413655,0.06746987951807229,-0.054963680387409286,-0.07278549286338809,-0.039583036037567576,-0.0586561100002898
1,0.0,7,5442,33215,Acapulco,26/02/2018,0,0.0066115356380926915,-0.07905174769674794,0.0665656770608073,-0.015099218472828246,-0.015664716258702582,-0.3105155026505435,-0.3051347960235125,-0.14007630087829656,0.11557941041495068,-0.01861234520324928,-0.022144917425184374,-0.03371156367607753
3,0.0,3,25898,3970,Acapulco,26/02/2018,0,-0.013569039655996207,0.09327651515151514,0.04016894320632641,-0.02921891874021998,0.0027534493553911243,0.0,0.19509476031215162,0.2240802675585284,0.1875693673695893,0.07089106545628288,0.03256349182597945,0.04167214671606288
5,0.0,1,4677,4570,Dubai,26/02/2018,0,0.11848214285714287,-0.005398618957941026,0.0036942313157147244,-0.029832253145253618,-0.0009702106521367604,0.0,-0.3961538461538461,0.08461538461538465,0.04313380281690138,0.03815476190476186,0.008980322876386504,0.008322508759508268
3,0.0,5,5658,4914,Sao Paulo,26/02/2018,0,-0.06956483719172979,0.0009949618989347764,-0.08393343035443401,0.032440770514837736,0.002640955216171137,0.3333333333333333,-0.31301218155280147,-0.053882220781528434,-0.09168438460842343,-0.04885434143860823,-0.012863043509829863,-0.016413570923770493
7,0.0,3,4994,5216,Acapulco,26/02/2018,0,-0.034589719528724805,-0.007145887764900216,0.019154964276915376,-0.011769450487649658,-0.009476517879879243,0.14285714285714285,-0.20981554677206848,-0.014163372859025025,-0.10308641975308641,-0.003049734125742831,-0.00897825643397998,-0.014819184613392489
4,0.0,5,5333,5922,Dubai,26/02/2018,0,-0.0015125647707191492,-0.09669066789628633,-0.015140415140415198,0.006621958369979475,-0.018424139034012188,-0.15000000000000002,-0.16025641025641024,0.10512820512820517,0.08686567164179104,-0.06836493245874153,-0.042503155342063004,-0.06174297408876206
5,0.0,4,5801,4296,Sao Paulo,26/02/2018,0,-0.08983247268390981,0.036934291562986,0.08475456228444883,0.016310400735534802,0.023043744935229205,0.30095945092797605,0.4011636031961171,-0.10642256535610094,0.0691348283707488,0.03472895647207952,0.033104794328245535,0.05103935720761433
6,0.0,2,5420,4728,Acapulco,26/02/2018,0,0.011591749300348897,-0.14990350777613803,-0.043953335524153814,0.020180158147876437,-0.02565637734236259,0.0,-1.2854030501089326,0.1786492374727669,-0.0672268907563025,-0.1129634108419999,-0.06254761134655668,-0.09278325269412346
4,0.0,2,4752,6418,Dubai,26/02/2018,0,0.027176300759430227,0.07323597455176412,0.10702702702702699,-0.030956416464891,0.0029266043802776975,0.0,-0.09009009009009,-0.14189189189189189,0.07142857142857145,0.08931149187221488,0.04102614702091645,0.058355075407323875
2,0.0,4,5564,5166,Acapulco,26/02/2018,0,-0.05922310787448559,-0.0009178139340841884,0.036231884057971064,-0.008433734939758963,-0.003787673649574552,0.0,0.07407407407407407,-0.1111111111111111,-0.08064516129032262,0.0065633462356380345,-0.0006142895403961068,-0.0018703887041209288
1,0.0,4,6401,5324,Dubai,26/02/2018,0,0.1360915492957746,-0.12524785194976862,0.05338008961620888,0.0021590875249412056,-0.0035060028075958316,0.0,-0.4513788098693759,-0.18432510885341066,0.008241758241758323,-0.021830985915492818,-0.013159423499512712,-0.019671898390551598
4,0.0,4,3607,6030,Sao Paulo,26/02/2018,0,-0.007690091289838552,-0.06649984183217272,-0.002744895655828805,-0.05244703873939638,-0.053944526367211365,0.0,0.04976723681758621,-0.1308711043135723,-0.0927577877853259,-0.04431071035893369,-0.0554279855672703,-0.09675774909833007
3,0.0,5,5057,4546,Sao Paulo,26/02/2018,0,-0.05564982150325326,-0.021181462792651096,-0.12551774551300043,0.053073564392248196,0.007389556023087662,0.0,0.062058328116409545,0.169689138251587,-0.006761397877734332,-0.07253199977661895,-0.017769749404399904,-0.019458435384370754
4,0.0,4,5303,5718,Dubai,26/02/2018,0,0.007957851295582241,-0.0652278287112188,-0.04170798898071626,-0.007847365741156742,-0.024508848583912224,0.0,-0.11546610169491522,-0.17231638418079095,-0.09388335704125172,-0.053683783235234483,-0.03929467904147432,-0.06153114897639124
4,0.0,4,5375,11176,Acapulco,26/02/2018,0,-0.11351476192309173,-0.01549823174537135,0.05587318087318077,-0.0273026315789473,-0.020905985577459707,0.0,-0.075354609929078,0.11170212765957449,0.05070993914807309,-0.003522075522537582,-0.018309335374117996,-0.03082470710148489
3,0.0,4,4252,5131,Dubai,26/02/2018,0,-0.0846202007743806,0.032540986235740865,-0.023146997719167395,-0.008850925577832736,-0.012346626221517831,0.0,0.018299752601256714,0.0037857043021594927,0.027360512313455043,-0.003999268658303912,-0.00789444946625295,-0.012850194236136633
3,0.0,2,6044,23848,Acapulco,26/02/2018,0,0.03266102797657777,-0.10444763271162127,-0.2169966996699671,0.06274597495527723,-0.00841775853076454,0.0,-0.4613953488372093,0.25209302325581395,-0.125,-0.1398828887443071,-0.0467268847265368,-0.07713691378902987
4,0.0,4,5016,5044,Acapulco,26/02/2018,0,-0.0741611510055965,0.09208892200695473,0.004398382204246709,-0.006109022556391008,0.010685523636494887,0.0,0.2863113897596655,0.018286311389759696,0.11794871794871786,0.044785464209961434,0.02534473442108759,0.038676441653570426
2,0.0,4,44669,5539,Sao Paulo,26/02/2018,0,-0.01984932859064903,-0.08506409088482747,-0.08105655603578682,0.02194027812875532,-0.013845400455734014,0.0,-0.10031377144048789,0.51091188759875,0.04390889680614618,-0.08644652896079064,-0.048716489505594984,-0.06450625083203534
5,0.0,5,5918,11549,Acapulco,26/02/2018,0,0.06984630794389024,-0.14431350117311914,-0.06423054891090518,0.03811221448886526,-0.013314087209281178,0.0,-0.1427585008254424,0.1107609715127163,-0.07225548881876198,-0.09871630204013682,-0.04245516638722041,-0.06060408755127154
4,0.0,5,5571,11769,Sao Paulo,26/02/2018,0,0.07324564313569337,-0.05755313512588889,0.002138836217840945,0.014003932995322654,0.0013062466753362978,-0.25761214905901864,-0.4363962517815403,-0.16171941007214782,-0.10958041986448286,-0.02389581567984822,-0.0068622189094244,-0.009891882684525562
3,0.0,5,5055,26578,Dubai,26/02/2018,0,0.054117133327812206,-0.1445857134082673,-0.023119122257053426,0.03239695087521177,-0.00810691640644945,0.0,-0.5392156862745099,-0.03361344537815128,0.18110850897736142,-0.08671690896907924,-0.03793157585786644,-0.05431995809386746
1,0.0,7,11433,4894,Dubai,26/02/2018,0,-0.03297987059669294,0.1132882882882883,-0.061749723145072044,0.030300416846341882,0.03370253470944751,0.0,0.30403860807721617,0.35077470154940305,0.16889185580774368,0.03816199376947038,0.0449093049112998,0.06846241061581226
2,0.0,6,26007,5718,Miami Masters,19/03/2018,0,-0.03773630343166767,0.04518869238267642,-0.0075498575498575415,-0.015067147068457243,-0.005845939230131991,0.0,-0.42399267399267393,-0.1767399267399268,-0.22916666666666663,0.011475015051173987,-0.002273508178708361,-0.003592132017283256
4,0.0,3,3333,5565,Miami Masters,19/03/2018,0,0.14296654036371914,0.09926505786399065,0.1301273293061178,-0.03908774205109422,0.025005552977427015,0.0,0.9955787948763496,0.058836465267615656,0.17177402872596204,0.14577723791343045,0.064638080500237,0.10668949586233623
6,0.0,5,5539,4022,Miami Masters,19/03/2018,0,0.08577835242055609,0.00809051054444676,0.03272700460352035,0.01033361299822888,0.018616351194338465,0.0,-0.004543517880526149,-0.25108452509780865,-0.005296356419905224,0.030956687745111622,0.02707080665144762,0.04129030074334048
4,0.0,6,5034,6196,Miami Masters,19/03/2018,0,-0.05290547563357828,0.03807006376214517,0.0253415807189305,0.025181114582575104,0.023372225467191532,0.0,-0.02620492422846099,-0.37777777777777777,-0.03694550657755158,0.019602788221437684,0.02775937024731645,0.04478390280401279
4,0.0,6,4467,5044,Miami Masters,19/03/2018,0,-0.003837719298245612,-0.01348555815768926,-0.13183673469387752,0.017506660570996146,-0.005615346984415348,0.0,-0.30833333333333335,-0.018333333333333257,0.042857142857142816,-0.057832080200501235,-0.028788156169118395,-0.04032541962950509
2,0.0,9,4570,11549,Miami Masters,19/03/2018,0,0.005246913580246981,0.012923465923723398,-0.1887690463961651,0.0236223420185685,-0.010726330455616773,-0.2222222222222222,0.5751152073732719,0.05007680491551458,0.06254029658284976,-0.07679573512906857,-0.037578000816121004,-0.05317339311050007
7,0.0,6,5978,5303,Miami Masters,19/03/2018,0,-0.028143526631949745,-0.009975920192638599,0.09121447028423779,0.00841049849704445,0.013024995281110341,0.14285714285714285,0.012076240360832269,0.026189436927105986,0.09956315981070263,0.020787304895938608,0.0186803431598922,0.02919780339298307
5,0.0,4,5902,9719,Miami Masters,19/03/2018,0,-0.051906000098120963,-0.03254777070063708,-0.08132232458796901,0.01698933752469145,-0.010178694889429685,0.0,-0.015652557319223992,0.1602733686067019,0.15642915642915645,-0.06289555021341309,-0.030517385909788253,-0.04590621268872164
6,0.0,4,4296,4868,Miami Masters,19/03/2018,0,0.02097251890682128,-0.07780278912051719,0.07580303055571191,0.021300545839478935,0.00694369247906923,0.117148792699936,-0.24840106044686242,-0.10575426293009649,-0.09764061602319574,-0.0220963176250758,-0.0014562701330897432,-0.000795771785596866
4,0.0,9,11787,11769,Miami Masters,19/03/2018,0,-0.012917982436604802,-0.07150697828206731,-0.08582064550663893,0.034633061816601085,-0.006460426158210852,-0.3467360439846745,-0.4707481550036878,0.16467241019893636,-0.1543763345882505,-0.07993891729324765,-0.031518849388114445,-0.04530585547664656
9,0.0,6,4994,5324,Miami Masters,19/03/2018,0,0.1046182421127434,-0.08793860180896718,0.09361376222457884,-0.0019471102355845815,0.006117091194284829,0.1111111111111111,-0.1093466424682395,-0.3917120387174834,0.05569620253164553,0.018231585121462723,0.01100239047913415,0.016284474885878045
1,0.0,1,6202,6267,Miami Masters,19/03/2018,0,-0.021874999999999978,0.08837408837408833,-0.05555555555555558,-0.09983498349834974,-0.05718648208469046,0.0,0.24444444444444438,0.02222222222222217,-0.025000000000000022,0.025744047619047583,-0.04012958215464402,-0.07409093587930216
