match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
166504,Quito,2018,347,05/02/2018,B,C,F,3,5070,21.0,1955,6134,107.0,1807,,55.0,53.0,97.0,81.0,38.0,43.0,19.0,17.0,4.0,5.0,5.0,3.0,8.0,3.0,11.0,5.0,0,1,14.0
166432,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,44551,1764.0,1477,26417,797.0,1550,,34.0,35.0,56.0,52.0,17.0,29.0,10.0,8.0,2.0,7.0,3.0,1.0,6.0,4.0,10.0,5.0,0,1,8.0
166433,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,27835,224.0,1559,5370,52.0,1877,,36.0,42.0,61.0,72.0,28.0,30.0,9.0,18.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,6.0,0,1,11.0
166434,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,5629,195.0,1704,11766,213.0,1648,,31.0,29.0,57.0,47.0,20.0,25.0,15.0,13.0,3.0,6.0,0.0,1.0,5.0,1.0,8.0,1.0,0,1,9.0
166437,Davis Cup G2,2018,24,03/02/2018,D,C,RR,3,26946,1408.0,1683,34670,1455.0,1581,,46.0,46.0,59.0,66.0,21.0,26.0,6.0,9.0,0.0,1.0,0.0,5.0,3.0,2.0,10.0,7.0,0,1,11.0
166438,Davis Cup G2,2018,24,03/02/2018,D,C,RR,3,47244,1674.0,1500,6383,458.0,1697,,35.0,27.0,55.0,48.0,21.0,25.0,10.0,12.0,6.0,10.0,2.0,5.0,3.0,1.0,6.0,1.0,0,1,9.0
166440,Davis Cup G2,2018,24,03/02/2018,D,C,RR,3,47244,1674.0,1458,26946,1408.0,1648,,39.0,42.0,56.0,57.0,24.0,34.0,12.0,7.0,4.0,3.0,1.0,3.0,2.0,0.0,5.0,0.0,0,1,10.0
166441,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,5341,643.0,1642,4291,109.0,1788,,48.0,36.0,64.0,62.0,30.0,30.0,7.0,14.0,0.0,6.0,2.0,4.0,3.0,1.0,6.0,1.0,0,1,10.0
166442,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,44601,682.0,1500,45149,611.0,1500,,24.0,39.0,50.0,66.0,15.0,26.0,7.0,12.0,2.0,2.0,3.0,5.0,3.0,2.0,8.0,4.0,0,1,8.0
166443,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,45149,611.0,1586,4291,109.0,1797,,28.0,27.0,47.0,51.0,17.0,22.0,4.0,11.0,1.0,4.0,3.0,2.0,2.0,1.0,7.0,2.0,0,1,8.0
166445,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,23629,422.0,1565,11733,463.0,1636,,41.0,51.0,73.0,82.0,32.0,38.0,17.0,17.0,7.0,6.0,4.0,0.0,1.0,3.0,3.0,5.0,0,1,13.0
166446,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,17199,260.0,1525,5614,502.0,1624,,28.0,36.0,62.0,65.0,18.0,27.0,17.0,13.0,2.0,1.0,1.0,4.0,0.0,0.0,4.0,2.0,0,1,11.0
166448,Davis Cup G2,2018,24,03/02/2018,D,H,RR,3,8725,860.0,1655,6161,838.0,1727,,44.0,50.0,72.0,93.0,30.0,35.0,16.0,20.0,5.0,2.0,4.0,1.0,1.0,7.0,4.0,10.0,0,1,12.0
166532,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,4122,119.0,1795,4198,69.0,1817,,40.0,31.0,59.0,51.0,24.0,25.0,8.0,14.0,3.0,2.0,1.0,0.0,2.0,4.0,5.0,4.0,0,1,9.0
166533,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,4252,71.0,1852,5630,70.0,1883,,43.0,45.0,71.0,76.0,24.0,27.0,15.0,18.0,0.0,3.0,2.0,4.0,2.0,4.0,7.0,8.0,0,1,11.0
166534,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6134,76.0,1829,5658,114.0,1792,,37.0,32.0,59.0,56.0,20.0,24.0,12.0,11.0,1.0,4.0,2.0,3.0,0.0,3.0,4.0,4.0,0,1,9.0
166535,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6196,60.0,1887,5370,51.0,1886,,30.0,23.0,52.0,38.0,15.0,19.0,6.0,8.0,1.0,8.0,4.0,0.0,7.0,1.0,13.0,2.0,0,1,8.0
166536,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,6384,276.0,1658,5057,137.0,1819,,27.0,24.0,43.0,40.0,13.0,19.0,4.0,10.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,0.0,0,1,8.0
166537,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,4887,418.0,1719,6029,24.0,2022,,34.0,36.0,57.0,59.0,18.0,23.0,10.0,11.0,3.0,3.0,3.0,2.0,2.0,2.0,7.0,4.0,0,1,10.0
166538,Buenos Aires,2018,319,12/02/2018,B,C,R32,3,4654,32.0,1921,4789,43.0,2095,,31.0,44.0,46.0,57.0,17.0,33.0,8.0,8.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,0,1,8.0
