match_id;date;surface;level;round;best_of;player_id;opponent_id;player_rank;opponent_rank;player_elo_rating;opponent_elo_rating;player_age;opponent_age;player_height;opponent_height;outcome;p_matches;o_matches;p_sets;o_sets;p_games;o_games;p_tbs;o_tbs;p_ace;p_df;p_sv_pt;p_1st_in;p_1st_won;p_2nd_won;p_sv_gms;p_bp_sv;p_bp_fc;o_ace;o_df;o_sv_pt;o_1st_in;o_1st_won;o_2nd_won;o_sv_gms;o_bp_sv;o_bp_fc;minutes;p_upsets;o_upsets;p_avg_ace;p_avg_df;p_avg_sv_pt;p_avg_1st_in;p_avg_1st_won;p_avg_2nd_won;p_avg_sv_gms;p_avg_bp_sv;p_avg_bp_fc;o_avg_ace;o_avg_df;o_avg_sv_pt;o_avg_1st_in;o_avg_1st_won;o_avg_2nd_won;o_avg_sv_gms;o_avg_bp_sv;o_avg_bp_fc
166564;12/02/2018;H;B;R32;3;4628;5438;128;49;1641;1920;32.29;28.14;;188;;1;0;2;1;13;15;1;0;6;2;99;76;48;14;14;6;9;21;2;87;52;39;18;14;2;4;132;1;0;5.28;2.50;89.22;54.50;36.44;17.33;13.33;4.83;8.50;9.22;3.00;84.89;52.50;39.56;17.06;13.67;3.17;5.22
166565;12/02/2018;H;B;R32;3;5442;11483;27;232;2182;1717;28.12;21.98;178;;;1;0;2;0;13;8;0;0;3;1;52;32;23;12;10;0;2;5;4;87;59;34;11;11;9;14;94;0;0;3.38;2.69;76.98;46.99;33.38;15.83;12.10;3.74;6.12;6.36;3.03;79.39;47.56;32.98;14.91;12.17;4.80;8.11
166594;12/02/2018;H;A;R32;3;6407;4180;57;28;1912;2017;22;34.77;;193;;1;0;2;0;12;10;1;0;12;2;88;51;36;19;11;9;11;11;6;100;61;39;17;11;11;14;120;1;0;7.06;3.55;80.97;48.94;35.08;15.71;12.23;4.77;7.47;4.86;3.05;79.11;48.67;34.53;15.48;12.38;4.35;7.03
166566;12/02/2018;H;B;R32;3;5528;3607;72;139;1732;1783;27.76;37.53;185;173;;1;0;2;0;13;6;0;0;5;3;54;33;27;15;10;0;0;3;5;66;47;30;7;9;4;7;82;0;0;5.38;2.40;82.43;47.91;33.90;17.32;12.70;4.42;7.28;6.62;3.06;82.59;49.06;36.68;17.97;12.86;3.78;5.68
166567;12/02/2018;H;B;R32;3;5420;6202;91;109;1731;1824;28.25;24.57;;;;1;0;2;0;12;7;0;0;1;0;48;37;32;8;10;0;0;4;2;64;37;25;12;9;3;5;71;0;0;2.41;3.09;90.19;58.95;37.62;15.05;13.47;5.21;9.33;6.76;3.19;87.28;51.40;36.71;18.22;13.31;4.98;7.84
166597;12/02/2018;H;A;R32;3;644;3970;4;39;2151;2009;20.82;35.87;198;175;;1;0;2;0;12;7;0;0;4;1;66;45;29;10;9;9;11;0;4;64;46;25;6;10;1;6;84;0;0;7.39;4.05;82.81;51.53;37.34;15.95;12.94;3.96;6.39;4.91;2.90;81.32;49.71;35.52;15.78;12.92;3.93;6.90
166568;12/02/2018;H;B;R32;3;4533;5918;100;61;1851;1825;32.86;25.97;175;185;;1;0;2;0;12;8;0;0;3;2;52;37;21;11;10;3;6;1;2;50;34;20;5;10;1;6;58;1;0;2.33;2.91;78.03;47.11;31.33;15.65;12.18;4.38;7.80;5.58;3.01;78.94;47.65;33.22;15.44;12.26;4.37;7.31
166599;12/02/2018;H;A;R32;3;4894;5210;42;352;1876;1801;30.86;29.4;190;193;;1;0;2;0;12;4;0;0;4;1;38;19;17;15;8;0;0;4;3;46;33;20;2;8;2;6;54;0;0;6.52;2.71;81.55;48.82;34.98;16.22;12.64;4.22;7.00;5.63;2.62;80.51;49.78;35.52;15.97;12.69;4.02;6.64
166569;12/02/2018;H;B;R32;3;26011;45447;98;873;1768;1534;20.06;17.61;;;;1;0;2;1;16;12;0;0;7;3;84;51;40;15;14;4;7;11;6;93;60;41;11;14;12;17;103;0;0;7.51;2.98;85.67;51.12;36.37;17.60;13.58;3.84;6.91;10.67;3.51;87.77;53.47;40.02;17.56;13.93;4.19;6.53
166600;12/02/2018;H;A;R32;3;4259;11547;36;48;1998;1932;34.33;21.73;178;;;1;0;2;1;15;18;2;0;6;0;103;67;43;22;16;6;10;11;1;106;69;50;17;17;3;6;153;0;0;5.66;2.14;76.39;46.06;33.32;16.27;12.09;3.75;5.96;5.94;2.57;78.09;47.97;33.88;15.10;12.18;4.04;6.79
166570;12/02/2018;H;B;R32;3;23848;11429;131;146;1731;1685;21.61;22.83;;;;1;0;2;1;16;15;1;0;12;2;108;70;54;21;16;3;4;10;2;82;58;44;16;15;1;2;117;0;0;7.38;2.91;86.26;48.00;34.76;20.79;13.32;4.56;7.21;9.85;3.59;81.88;48.97;37.59;18.50;13.09;3.74;5.44
166601;12/02/2018;H;A;R32;3;3819;5067;2;116;2461;1859;36.51;30.08;185;;;1;0;2;0;12;3;0;0;6;0;36;23;21;11;8;0;0;3;1;46;32;16;5;7;6;10;47;0;0;7.79;1.90;77.65;48.11;37.21;16.82;12.82;2.96;4.41;4.79;2.96;83.04;50.25;33.96;16.12;12.54;4.82;8.19
166571;12/02/2018;H;B;R16;3;5016;4022;12;94;2013;1786;30.35;35.64;198;183;;1;0;2;0;12;7;0;0;13;0;61;41;33;12;10;3;3;1;0;53;40;27;6;9;3;5;64;0;0;12.33;3.29;80.88;47.83;37.57;16.70;13.06;3.42;5.41;6.48;2.97;81.63;49.89;36.40;16.98;12.88;3.82;6.12
166602;12/02/2018;H;A;R16;3;5763;5922;5;38;2192;1842;26.75;25.96;188;185;;1;0;2;0;13;11;1;0;13;2;85;57;47;13;12;4;4;2;1;77;55;40;13;12;3;4;103;0;0;7.18;3.30;79.19;49.20;36.84;15.50;12.65;3.63;5.77;5.50;2.90;80.05;49.49;34.94;15.58;12.43;4.37;7.02
166572;12/02/2018;H;B;R16;3;3333;5978;89;44;1907;1958;38.96;25.77;208;183;;1;0;2;0;12;8;0;0;16;0;55;40;33;8;10;1;1;6;0;51;36;28;9;10;2;4;60;1;0;19.66;3.44;84.01;55.05;45.53;15.45;13.77;2.71;3.80;6.12;2.92;84.65;54.35;42.73;18.08;13.71;2.75;3.95
166603;12/02/2018;H;A;R16;3;25898;5986;34;29;1994;1994;20.31;25.73;;172;;1;0;2;0;12;10;1;0;6;3;84;60;39;7;11;9;13;1;3;85;53;28;16;11;10;15;105;1;0;4.49;4.15;83.47;49.70;34.74;16.36;12.79;4.77;7.89;7.59;3.60;83.34;51.36;36.33;15.21;12.90;4.23;7.37
166573;12/02/2018;H;B;R16;3;5166;5367;25;63;1986;1923;29.62;28.58;183;185;RET;1;0;1;1;17;12;0;1;4;1;97;67;51;16;15;6;7;10;3;93;65;46;15;14;5;8;120;0;0;4.60;2.66;78.66;47.62;32.87;15.68;12.25;4.33;7.33;7.09;3.13;78.34;47.05;33.72;15.59;12.30;3.95;6.73
166605;12/02/2018;H;A;R16;3;4606;4677;17;67;2156;1930;32.41;32.01;196;193;;1;0;2;0;12;3;0;0;4;0;44;26;21;12;8;1;1;5;5;52;31;20;5;7;5;9;60;0;0;7.73;2.46;76.02;44.05;33.93;16.80;12.30;3.34;5.25;6.52;2.86;78.18;47.77;33.76;14.56;12.10;4.10;7.02
166574;12/02/2018;H;B;R16;3;4628;4868;128;95;1697;1877;32.29;31;;188;;1;0;2;0;13;11;1;0;9;1;79;50;34;17;12;6;8;7;2;75;54;38;7;12;2;5;108;1;0;5.28;2.50;89.22;54.50;36.44;17.33;13.33;4.83;8.50;9.22;3.00;84.89;52.50;39.56;17.06;13.67;3.17;5.22
166575;12/02/2018;H;B;R16;3;5442;5528;27;72;2183;1753;28.12;27.76;178;185;;1;0;2;0;12;6;0;0;7;0;44;24;20;17;9;0;0;2;0;54;43;28;2;9;1;4;65;0;0;3.38;2.69;76.98;46.99;33.38;15.83;12.10;3.74;6.12;6.36;3.03;79.39;47.56;32.98;14.91;12.17;4.80;8.11
166606;12/02/2018;H;A;R16;3;6407;5718;57;80;1925;1841;22;26.91;;188;;1;0;2;1;15;16;1;0;4;4;96;58;45;21;15;3;4;13;2;103;63;51;19;16;4;5;131;0;0;7.06;3.55;80.97;48.94;35.08;15.71;12.23;4.77;7.47;4.86;3.05;79.11;48.67;34.53;15.48;12.38;4.35;7.03
166607;12/02/2018;H;A;R16;3;4311;644;81;4;1923;2156;33.98;20.82;190;198;;1;0;2;0;12;7;0;0;3;0;64;42;29;11;10;4;6;3;1;57;40;23;7;9;1;5;78;1;0;4.84;2.76;80.52;46.83;32.98;16.91;12.48;4.37;7.34;6.56;3.10;81.40;48.64;34.28;16.35;12.61;4.29;7.21
166576;12/02/2018;H;B;R16;3;5420;4544;91;18;1755;2038;28.25;32.8;;206;;1;0;2;1;15;15;1;0;1;3;99;68;46;20;15;4;6;28;2;90;66;55;9;15;3;5;125;1;0;2.41;3.09;90.19;58.95;37.62;15.05;13.47;5.21;9.33;6.76;3.19;87.28;51.40;36.71;18.22;13.31;4.98;7.84
166608;12/02/2018;H;A;R16;3;4894;34652;42;259;1885;1722;30.86;21.62;190;;;1;0;2;0;12;4;0;0;6;0;44;20;19;12;8;0;1;2;1;53;35;18;6;8;5;10;65;0;0;6.52;2.71;81.55;48.82;34.98;16.22;12.64;4.22;7.00;5.63;2.62;80.51;49.78;35.52;15.97;12.69;4.02;6.64
166577;12/02/2018;H;B;R16;3;26011;4533;98;100;1774;1861;20.06;32.86;;175;;1;0;2;1;15;10;0;0;6;1;80;54;39;14;12;8;9;7;6;81;45;32;17;13;4;8;94;0;0;7.51;2.98;85.67;51.12;36.37;17.60;13.58;3.84;6.91;10.67;3.51;87.77;53.47;40.02;17.56;13.93;4.19;6.53
166609;12/02/2018;H;A;R16;3;3819;4259;2;36;2461;2006;36.51;34.33;185;178;;1;0;2;0;13;11;1;0;11;0;68;46;41;14;12;0;0;5;2;91;56;36;24;12;5;6;101;0;0;7.79;1.90;77.65;48.11;37.21;16.82;12.82;2.96;4.41;4.79;2.96;83.04;50.25;33.96;16.12;12.54;4.82;8.19
166578;12/02/2018;H;B;R16;3;4728;23848;11;131;2038;1747;31.74;21.61;203;;;1;0;2;1;15;16;1;0;22;1;72;50;44;19;15;1;2;13;3;94;53;44;25;16;2;3;111;0;0;12.22;3.03;80.91;52.33;40.02;15.16;13.08;3.46;5.25;6.05;3.03;82.85;50.58;37.26;17.05;12.94;3.82;5.95
166579;12/02/2018;H;B;QF;3;5016;3333;12;89;2016;1918;30.35;38.96;198;208;;1;0;2;0;12;12;2;0;11;0;65;52;48;11;12;0;0;15;1;74;52;42;16;12;2;2;79;0;0;12.33;3.29;80.88;47.83;37.57;16.70;13.06;3.42;5.41;6.48;2.97;81.63;49.89;36.40;16.98;12.88;3.82;6.12
166610;12/02/2018;H;A;QF;3;5763;25898;5;34;2194;2004;26.75;20.31;188;;;1;0;2;0;12;7;0;0;12;2;66;45;37;10;10;2;2;3;0;54;37;26;8;9;1;3;76;0;0;7.18;3.30;79.19;49.20;36.84;15.50;12.65;3.63;5.77;5.50;2.90;80.05;49.49;34.94;15.58;12.43;4.37;7.02
166580;12/02/2018;H;B;QF;3;5166;4628;25;128;1993;1731;29.62;32.29;183;;;1;0;2;1;15;14;0;0;10;1;105;72;44;17;15;6;10;5;0;92;57;35;19;14;7;11;150;0;0;4.60;2.66;78.66;47.62;32.87;15.68;12.25;4.33;7.33;7.09;3.13;78.34;47.05;33.72;15.59;12.30;3.95;6.73
166612;12/02/2018;H;A;QF;3;4311;6407;81;57;1939;1933;33.98;22;190;;;1;0;2;1;16;15;1;0;15;1;101;74;56;10;16;4;7;6;7;98;63;44;19;15;5;8;123;1;0;4.84;2.76;80.52;46.83;32.98;16.91;12.48;4.37;7.34;6.56;3.10;81.40;48.64;34.28;16.35;12.61;4.29;7.21
166581;12/02/2018;H;B;QF;3;5442;5420;27;91;2184;1782;28.12;28.25;178;;;1;0;2;1;16;10;0;0;3;1;78;50;39;13;13;5;8;1;3;77;52;30;10;13;6;12;117;0;0;3.38;2.69;76.98;46.99;33.38;15.83;12.10;3.74;6.12;6.36;3.03;79.39;47.56;32.98;14.91;12.17;4.80;8.11
166613;12/02/2018;H;A;QF;3;3819;4894;2;42;2463;1891;36.51;30.86;185;190;;1;0;2;1;16;8;0;0;6;1;61;35;26;19;12;0;1;9;2;70;46;28;9;12;3;8;79;0;0;7.79;1.90;77.65;48.11;37.21;16.82;12.82;2.96;4.41;4.79;2.96;83.04;50.25;33.96;16.12;12.54;4.82;8.19
166582;12/02/2018;H;B;QF;3;4728;26011;11;98;2041;1793;31.74;20.06;203;;;1;0;2;1;17;14;0;0;16;0;92;64;50;16;16;2;3;7;5;87;50;41;18;15;5;7;124;0;0;12.22;3.03;80.91;52.33;40.02;15.16;13.08;3.46;5.25;6.05;3.03;82.85;50.58;37.26;17.05;12.94;3.82;5.95
166583;12/02/2018;H;B;SF;3;5016;5166;12;25;2023;1997;30.35;29.62;198;183;;1;0;2;1;19;14;0;1;21;2;96;69;53;14;16;5;6;9;1;101;78;52;14;17;3;7;118;0;0;12.33;3.29;80.88;47.83;37.57;16.70;13.06;3.42;5.41;6.48;2.97;81.63;49.89;36.40;16.98;12.88;3.82;6.12
166556;12/02/2018;C;B;SF;3;5370;5630;51;70;1921;1909;28.57;27.36;181;190;;1;0;2;1;14;11;0;0;15;1;72;49;32;12;12;1;4;1;3;77;45;27;17;13;4;9;116;0;0;8.13;2.80;77.40;44.10;32.63;16.26;12.25;3.80;6.62;6.11;3.06;78.59;47.48;34.35;15.88;12.37;3.78;6.26
166614;12/02/2018;H;A;SF;3;5763;5663;5;7;2198;2162;26.75;27.18;188;163;RET;1;0;1;0;6;4;0;0;6;4;48;32;22;8;5;6;6;4;0;32;18;14;7;5;1;2;61;0;0;7.18;3.30;79.19;49.20;36.84;15.50;12.65;3.63;5.77;5.50;2.90;80.05;49.49;34.94;15.58;12.43;4.37;7.02
166615;12/02/2018;H;A;SF;3;3819;4311;2;81;2463;1949;36.51;33.98;185;190;;1;0;2;0;12;9;1;0;9;2;67;42;32;14;10;2;3;7;0;69;43;29;11;11;2;5;84;0;0;7.79;1.90;77.65;48.11;37.21;16.82;12.82;2.96;4.41;4.79;2.96;83.04;50.25;33.96;16.12;12.54;4.82;8.19
166584;12/02/2018;H;B;SF;3;4728;5442;11;27;2044;2186;31.74;28.12;203;178;;1;0;2;1;15;13;1;0;23;0;84;66;52;9;14;3;4;5;3;89;53;37;22;14;4;6;131;0;0;12.22;3.03;80.91;52.33;40.02;15.16;13.08;3.46;5.25;6.05;3.03;82.85;50.58;37.26;17.05;12.94;3.82;5.95
166557;12/02/2018;C;B;SF;3;6219;4789;6;43;2095;2108;24.44;31.45;185;193;;1;0;2;0;12;3;0;0;3;3;45;27;23;10;8;0;0;0;0;56;44;21;5;7;5;9;63;0;0;5.84;2.80;77.90;45.99;34.04;16.94;12.44;3.62;5.79;5.44;2.67;81.60;49.90;34.93;15.95;12.47;4.70;7.59
166616;12/02/2018;H;A;F;3;3819;5763;2;5;2464;2207;36.51;26.75;185;188;;1;0;2;0;12;4;0;0;3;0;39;24;20;12;8;0;0;1;3;49;29;18;9;8;4;8;55;0;0;7.79;1.90;77.65;48.11;37.21;16.82;12.82;2.96;4.41;4.79;2.96;83.04;50.25;33.96;16.12;12.54;4.82;8.19
