match_id,date,surface,level,round,best_of,player_id,opponent_id,player_rank,opponent_rank,player_elo_rating,opponent_elo_rating,player_age,opponent_age,player_height,opponent_height,outcome,p_matches,o_matches,p_sets,o_sets,p_games,o_games,p_tbs,o_tbs,p_ace,p_df,p_sv_pt,p_1st_in,p_1st_won,p_2nd_won,p_sv_gms,p_bp_sv,p_bp_fc,o_ace,o_df,o_sv_pt,o_1st_in,o_1st_won,o_2nd_won,o_sv_gms,o_bp_sv,o_bp_fc,minutes,p_upsets,o_upsets,p_avg_ace,p_avg_df,p_avg_sv_pt,p_avg_1st_in,p_avg_1st_won,p_avg_2nd_won,p_avg_sv_gms,p_avg_bp_sv,p_avg_bp_fc,o_avg_ace,o_avg_df,o_avg_sv_pt,o_avg_1st_in,o_avg_1st_won,o_avg_2nd_won,o_avg_sv_gms,o_avg_bp_sv,o_avg_bp_fc
166143,01/01/2018,H,B,R16,3,4728,6315,14.0,124.0,2054,1762,31.62,23.59,203.0,,RET,1,0,1,0,9,8,1,0,10.0,1.0,45.0,26.0,22.0,14.0,8.0,0.0,0.0,5.0,2.0,61.0,31.0,22.0,19.0,9.0,3.0,4.0,80.0,0,0,12.11,3.05,80.72,52.15,39.86,15.15,13.04,3.46,5.24,6.02,3.03,82.59,50.42,37.12,17.0,12.9,3.81,5.94
168653,01/10/2018,H,A,R32,3,26011,9719,41.0,57.0,1925,1809,20.7,23.3,,,,1,0,2,0,13,9,0,0,7.0,1.0,63.0,46.0,35.0,9.0,11.0,2.0,3.0,8.0,3.0,80.0,55.0,33.0,13.0,11.0,3.0,6.0,84.0,0,0,7.7,3.06,85.49,51.8,36.92,17.49,13.45,4.15,6.96,10.04,3.49,85.21,51.67,38.51,17.25,13.61,4.0,6.4
167205,23/04/2018,C,A,R16,3,26578,5070,63.0,40.0,1846,1909,19.7,30.26,,188.0,,1,0,2,0,13,9,0,0,5.0,1.0,68.0,39.0,28.0,17.0,11.0,2.0,3.0,2.0,0.0,66.0,49.0,32.0,10.0,11.0,3.0,6.0,101.0,1,0,6.97,1.94,74.91,43.37,32.57,15.86,12.11,3.4,5.83,4.77,2.69,73.51,47.11,34.03,14.54,11.97,3.26,5.34
168829,22/10/2018,H,A,R32,3,5367,11769,60.0,42.0,1898,1896,29.27,23.03,185.0,,,1,0,2,1,14,14,0,0,10.0,4.0,90.0,46.0,33.0,26.0,14.0,3.0,5.0,23.0,7.0,83.0,43.0,33.0,20.0,14.0,3.0,5.0,98.0,1,0,7.35,3.53,79.22,43.71,32.92,17.33,12.31,3.77,6.38,8.77,3.2,77.8,47.74,34.68,15.27,12.34,3.57,5.94
166760,26/02/2018,H,A,R16,3,4291,4894,117.0,43.0,1821,1895,34.1,30.89,185.0,190.0,,1,0,2,0,12,12,2,0,6.0,2.0,94.0,58.0,48.0,17.0,12.0,8.0,8.0,8.0,1.0,73.0,43.0,38.0,14.0,12.0,1.0,1.0,116.0,1,0,4.73,3.28,84.58,45.46,32.74,19.28,12.78,4.99,7.95,8.06,3.2,81.04,48.82,36.21,16.66,12.84,4.23,6.57
166749,26/02/2018,H,A,R32,3,4259,5156,33.0,159.0,2005,1739,34.37,29.71,178.0,,,1,0,2,0,12,6,0,0,5.0,1.0,51.0,34.0,22.0,14.0,9.0,4.0,5.0,6.0,2.0,51.0,29.0,21.0,8.0,9.0,6.0,10.0,73.0,0,0,5.66,2.14,76.35,46.05,33.31,16.26,12.09,3.74,5.96,5.95,2.57,78.05,47.93,33.87,15.1,12.18,4.04,6.78
168112,30/07/2018,C,B,R32,3,6107,5515,81.0,56.0,1838,1886,25.5,28.26,,,,1,0,2,0,12,7,1,0,4.0,3.0,56.0,29.0,25.0,20.0,10.0,0.0,0.0,7.0,6.0,62.0,21.0,20.0,19.0,9.0,2.0,4.0,78.0,1,0,3.3,3.16,83.8,52.76,34.41,15.34,12.76,5.13,8.83,7.29,2.84,81.61,49.22,35.93,15.99,12.87,4.36,7.04
167929,16/07/2018,C,B,R16,3,34554,3970,147.0,39.0,1776,1951,19.56,36.29,,175.0,,1,0,2,0,13,7,0,0,5.0,2.0,60.0,34.0,21.0,17.0,10.0,4.0,6.0,0.0,2.0,54.0,27.0,18.0,9.0,10.0,1.0,6.0,75.0,1,0,4.78,2.47,79.72,52.53,35.84,13.97,12.22,4.34,6.88,5.81,3.47,76.19,46.75,34.19,15.19,12.28,3.81,6.28
166305,15/01/2018,H,G,R64,5,6030,5034,93.0,86.0,1795,1825,25.42,30.2,,185.0,,1,0,3,1,21,18,0,0,2.0,2.0,110.0,77.0,50.0,12.0,19.0,3.0,9.0,14.0,2.0,126.0,76.0,52.0,18.0,20.0,9.0,17.0,152.0,1,0,2.47,2.7,79.7,49.37,31.93,16.0,12.4,4.73,8.1,6.3,2.87,76.67,46.6,33.13,15.07,12.53,3.53,6.4
167513,28/05/2018,C,G,R128,5,4544,11483,10.0,173.0,2044,1741,33.09,22.26,206.0,,,1,0,3,0,18,15,2,0,28.0,0.0,96.0,70.0,63.0,20.0,17.0,2.0,2.0,5.0,5.0,121.0,88.0,59.0,23.0,16.0,10.0,11.0,138.0,0,0,17.76,2.27,88.03,60.58,47.45,15.39,14.21,2.91,4.11,7.62,3.24,87.77,54.86,42.39,19.09,14.05,3.35,4.84
