p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
112,1.0,72,4879,5644,Sofia,05/02/2018,1723,1795,0,1.2865773567346375,-1.6618992631650509,-1.4621688224268425,1.2680070767357046,-0.3431411596247122,1.2363879001711535,-1.6093244252274637,0.7713099361494204,-1.5036207815395057,-1.49301620827449,-0.9867732630593627,-0.9298524944811023,-0.36602182832412594
26,0.0,54,5550,6315,Quito,05/02/2018,1743,1764,0,0.1513411185499531,-0.8066529573461719,-0.7812226669190012,1.0650483500506807,0.07040659480117113,0.8990434040692286,-0.2653475786141461,1.212123103000657,0.5561160778637706,-0.8840440802066181,-0.46516842931819713,-0.4136879687178633,-0.10675636659453673
448,0.0,67,4868,25898,Montpellier,05/02/2018,1878,1983,0,0.03945721439300919,0.8721981946689319,0.2819031237800559,-0.6081251836169909,0.2049437902977151,-0.16102497408227853,1.008032909488735,0.19658461295980978,0.9521172097370146,0.7709671702195416,0.5292066411842266,0.5004828110253735,-0.5337818329726837
85,0.0,614,5718,4752,Montpellier,05/02/2018,1825,2065,0,-0.9800101939619335,0.3580689549293768,-0.7492794754962804,-1.7431915542684335,-1.4604902140929084,-0.15980997434434768,1.043791511221159,1.4744110886507367,0.583792175655055,-0.2420191029692582,-0.9781754172053555,-0.9996888458381018,-1.2200727610804198
17,0.0,279,9719,5303,Sofia,05/02/2018,1757,1844,1,1.2427273142052058,-0.2494903799309364,0.7805662732484112,-1.6390927199052014,-0.9268008741829006,-0.9314567336277008,0.704249463341721,-0.3738247640370584,0.32898073278442286,0.30363472525361135,-0.3584459494263273,-0.4126178608644892,-0.4422763758916522
6,0.0,17,5868,11769,Quito,05/02/2018,1728,1728,0,-1.9805546746637963,-0.23373187128227546,-0.969373515632129,0.8061489530783743,-0.31712160259514255,1.0182018001409503,-0.28030844493545026,1.1166259047228062,-2.5705010468367413,-0.993112880501084,-0.6550245395416977,-0.6347590566008668,0.0
615,0.0,23,4259,5792,Sofia,05/02/2018,2011,1850,0,0.3503027970864212,0.45395797519155257,0.6384913465560494,0.57898456164355,0.9943187412807536,0.10222716172717865,0.13713360634136332,-0.023981629801049047,-1.0448673676156632,0.6494891647747784,0.8906664530225322,0.8970398865042857,0.8184654772247816
133,0.0,56,5986,5067,Montpellier,05/02/2018,1991,1852,1,-0.01886326913746408,-0.9435916816621042,-0.3370539525886742,1.6921380092189517,0.514901497739022,-0.10511799960969313,-0.8387125898563375,0.1067234643073593,-1.6529108616878203,-0.8814957765578891,-0.21218562537168692,-0.1379690078092546,0.7066254741257432
251,1.0,31,3893,6134,Quito,05/02/2018,1816,1754,0,-0.35023282982673126,0.37892524958193624,-0.13095446546860165,-0.5979533051013161,-0.2616918528454888,0.6314375146841098,0.06505578605873875,-0.6219697520534074,0.5026766033214136,0.16676269588097922,-0.0641413253389262,-0.09493522206586531,0.31518546327910846
509,0.0,399,4677,4794,Sofia,05/02/2018,1914,1910,1,-0.9119207880384599,0.277209862798277,-0.9524932687283932,0.611947753087535,0.18208903758254177,0.223512199001694,0.3904585096098342,0.6332647880965172,-0.38919231877792326,-0.32738290958821253,-0.07940270128357134,-0.05843061796817252,0.020334546018006997
86,0.0,151,11547,5564,Montpellier,05/02/2018,1929,1834,1,0.5251359282812438,0.44130876388278417,-0.26158050902918756,0.030944350298706787,0.29536930406283485,-0.3438959722330362,0.8515777878261421,-0.2915446483621108,0.09844930082087884,0.3363193898040931,0.3494406695424617,0.34737597917643925,0.4829454679276662
498,0.0,1,3333,44669,Quito,05/02/2018,1911,1773,0,0.9809884240654666,4.695324570972169,2.5709322292423313,-3.101803406540751,1.3314493397110208,-3.8661471503034974,3.742482959764104,-0.6449757058853003,4.136258741774802,4.870808557235251,3.5749709351288224,3.4844119119145334,0.7015418376212413
599,1.0,214,4526,5364,Sofia,05/02/2018,2185,1856,1,0.08130936420999532,0.8192649238313464,1.2381972276959905,0.20428647961436835,1.0767578360539303,0.13997801679884095,0.4834014461861286,-1.1033823354671657,0.254041792223499,1.0941365418322897,1.1914147014832093,1.175246571318725,1.6725164099810754
20,0.0,226,5403,5793,Quito,05/02/2018,1836,2003,1,0.4269276991421682,-0.9071832281567014,-0.7358597950251525,0.7982918015103022,-0.19288007844864377,-0.0706988315959,-0.4171950484440299,0.5679191500331513,0.19500466033565367,-0.8999297018669238,-0.6161959585439689,-0.5456704777753535,-0.8489672962517921
649,0.3333333333333333,315,4467,5663,Montpellier,05/02/2018,1958,2148,0,-0.20213692567257271,-0.39090543296821884,0.22093362712140302,0.04686085902357162,-0.19215741416972038,-0.052794754948638375,-0.3029030616668587,-1.048655887061501,-0.18529707221400815,-0.24187832301450346,-0.229971956331726,-0.21972012459116882,-0.9658909358553324
42,0.0,338,5577,5070,Quito,05/02/2018,1776,1943,0,0.6733605539771809,-0.3328724158377319,-0.5885417623959013,-0.8468574668180935,-0.9231421166554633,-1.0951346626003948,0.06887857429910683,0.07897330693666264,0.019651867445022456,-0.3432306292182708,-0.6762401847160411,-0.709686588767635,-0.8489672962517921
20,0.0,481,6061,4570,Sofia,05/02/2018,1750,1950,1,1.7225091660266896,-1.580161487288746,-0.06571940770050493,-0.35313873860131245,-0.9288259549973037,-0.1586167237353751,-0.9484539107593281,-0.6322754765618381,0.1282976850806447,-0.8098446943394121,-0.9575467447447702,-0.9578507718543486,-1.01672730090035
151,1.0,330,6284,5324,Montpellier,05/02/2018,2019,1924,1,0.8054617811027485,-0.09394254710515791,1.2456928970130194,-0.5151257744883476,0.19654077434508574,0.050662530175123136,-0.23782890374703244,-0.6531611258481334,0.2756847440782552,0.6807841297091699,0.48054668142467083,0.451464618922708,0.4829454679276662
67,0.0,589,25898,4541,Montpellier,05/02/2018,1989,2116,0,-0.6055776241583073,-1.4285825690340137,-1.0891024012233186,0.46281021778741616,-1.0173572606034496,0.4026571039454595,-1.3170793267596914,1.317298634544544,-1.010501344761156,-1.6421657403107475,-1.4625045710774864,-1.4287076500041285,-0.6456218360717222
288,1.0,72,4180,5644,Sofia,05/02/2018,2031,1805,0,0.9791971174420802,0.8587557475950455,-0.2583789389685499,-0.5061791011369731,0.32270120456985824,0.8599236356959629,0.816469562540927,0.2327525152963159,0.6756204273072406,0.8305116677068082,0.5903216203602689,0.6040105025830375,1.1489018500173953
614,0.0,133,4752,5986,Montpellier,05/02/2018,2069,1996,1,-0.45323180920693495,1.4395180082738568,0.9474767443072021,-0.4205853515730117,0.8312079894953016,0.2212907539479998,0.7709281636563833,-0.4525623252750042,1.0201189334555238,1.3835800769596327,1.2482890079327305,1.1903809603827267,0.3711054648286277
