p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
42,-0.3333333333333333,312,26578,6219,Roland Garros,28/05/2018,0,-0.017885618350656274,0.007742009933790706,-0.015693307067468965,-0.01696654341874282,-0.01381621757404261,0.03525641025641019,0.07659250228588854,-0.04429543838260691,-0.015054537034740023,-0.006060217047776928,-0.015174234479261972,-0.023026760466519754,-211
11,0.0,405,26414,5201,Roland Garros,28/05/2018,1,-0.0002756062671728232,-0.03655336311372759,0.0043505774402783914,-0.020312108218977998,-0.020292463413948303,-0.07384960718294054,-0.29404074517921347,-0.16213095108399603,0.03334992164982653,-0.020435300906663345,-0.026579178203028575,-0.04074740912564134,-113
487,0.2,348,5442,5324,Roland Garros,28/05/2018,1,0.09245863913777697,-0.029660500304328652,0.06422053803316607,0.0076085268706751474,0.01660935586007306,0.058108522740683066,-0.38011044444734776,-0.12775149277844486,0.005585423848636806,0.032470824956508326,0.027286939287603174,0.04007935182718334,242
562,-0.3333333333333333,668,5016,4467,Roland Garros,28/05/2018,0,0.019174742472530037,0.09134710373122545,-0.011738486759204192,-0.026004856886499006,0.0002844584845714815,0.02892258188249841,0.5949727591570186,0.06857532644631925,0.03973333636016241,0.052494297822742175,0.019261090033172057,0.026489440936243395,40
18,0.0,173,11787,6284,Roland Garros,28/05/2018,0,0.07207933560233648,-0.06655935314264094,-0.04537788815656807,0.00541682407120081,-0.011289944817274855,-0.06422607578676942,-0.2875781770455291,0.03629602378371932,-0.012970157681384209,-0.04269522098316769,-0.025831953125613538,-0.03727839691196688,-198
524,0.0,107,4198,11547,Roland Garros,28/05/2018,0,-0.007935884425761985,-0.04096455996875836,-0.018342494282415966,0.009175362725962533,-0.004835017855679524,-0.0010522936434329,-0.3590984481754565,0.09019476200385931,-0.028189664552269122,-0.03327480867262911,-0.017082279932644273,-0.024099445946666576,-67
69,0.0,153,5420,5986,Roland Garros,28/05/2018,0,0.013646781066076197,-0.008004298649652797,-0.013401841472887477,-0.017978532239999012,-0.015365986022132572,0.035237283319124846,-0.04843025350737509,0.012073855381074694,0.04504771392432094,-0.007825518083034111,-0.01602886941089615,-0.025804050323033123,-135
225,0.0,187,644,5571,Roland Garros,28/05/2018,1,-0.02711237037958769,0.0389876564973245,-0.012625301075202433,0.01018648803934008,0.011965209494598672,0.011218062982768784,0.2465118582495749,0.14819947215398968,-0.01798185942634145,0.015285416462575085,0.016926141784374404,0.025471904501915173,295
634,-1.0,833,4752,4742,Roland Garros,28/05/2018,0,-0.06543670080464958,0.008957255089936278,-0.03561867443154243,-0.019822608952643872,-0.019530351552908054,-0.01667985806309913,0.19397316979797052,0.05329156750649658,0.008900144228644935,-0.017775755266426385,-0.025728516926778355,-0.03759836421907025,-345
38,0.0,34,5125,9719,Roland Garros,28/05/2018,0,-0.032935847687111,-0.0039024531883463665,-0.06434025261037524,0.009380051079312834,-0.004501049525061029,0.14086687306501555,-0.06038711979306044,0.09923289626259918,-0.008651766402307137,-0.03238924094804718,-0.01560263009794094,-0.02300918986873435,-101
181,1.0,174,6418,6029,Roland Garros,28/05/2018,0,0.011946522675227556,0.05503682624552342,0.0216391832076841,-0.027138395784647273,-0.004129466686497385,0.06464723439385284,0.22324042650847897,-0.03458209749261976,0.060435008536856905,0.04392154765895018,0.013810707981178283,0.016783151874302904,5
491,1.0,281,4728,4994,Roland Garros,28/05/2018,1,-0.0037596924487992567,0.07773746291257144,0.04336712232591744,-0.008907081488863544,0.015521948774797845,-0.020634771075080993,0.5281174893285295,0.053213197419870184,0.04328071431771796,0.06481816459625589,0.038078328192999555,0.055911083107392345,196
262,-1.0,648,5438,5220,Roland Garros,28/05/2018,0,0.03219795713787443,-0.013822851190585794,-0.007938865818618468,-0.024065722208193807,-0.01758683261465932,0.041584205070210156,-0.02498619044257888,0.018971796020447546,0.024667730120325415,-0.0038118462806474573,-0.018519140357950103,-0.027877568488841268,-155
544,0.0,141,4921,6364,Roland Garros,28/05/2018,1,-0.002365449226488736,-0.05445401241285652,-0.041091794681291816,0.01699518311071735,-0.005481048903835384,-0.006688047559449295,-0.197948302825238,0.11096078494281325,-0.04760494678814697,-0.04944991502575635,-0.023539424983764323,-0.032454731915039,1
101,-1.0,585,5718,4544,Roland Garros,28/05/2018,0,-0.10842891147870237,-0.029646888411190453,-0.05038230791248932,0.009988410762036048,-0.014317014520910831,-0.029025979521029033,-0.49045705191126454,0.16352304949245366,-0.06627537345424117,-0.06251826538449412,-0.03412167604961641,-0.05252985462245807,-134
528,1.0,361,5216,5070,Roland Garros,28/05/2018,1,0.015809509718394232,0.06922373241395885,0.017471018654535486,0.004908383299379149,0.021071254871587675,0.04118400067153527,0.3116650661231533,-0.028199506070033298,0.00013186062378978125,0.05281535590569597,0.03959306545130009,0.05772373920507512,332
335,0.3333333333333333,562,5663,4789,Roland Garros,28/05/2018,1,-0.049393476325199415,-0.014984608064582017,0.006646533548004485,0.006790677090730779,-0.0010669752760024132,-0.04494608806501299,-0.2313655947502984,0.007868484036869738,-0.008766111931574616,-0.017214766179437846,-0.007633144533060743,-0.010424089088707067,101
250,1.0,44,5793,6051,Roland Garros,28/05/2018,0,-0.03537938170401744,0.020280536240667946,0.05772241443727405,0.02057744109913906,0.023115936229491818,0.008000000000000007,0.031498963849873385,-0.032208918566275224,-0.0014553664939269684,0.026672077753124412,0.03070842285348868,0.04724951885226347,180
363,-0.7142857142857142,852,5131,4920,Roland Garros,28/05/2018,0,0.011899640916327003,-0.04261389979701036,-0.021129042971247625,-0.014343326446317195,-0.02086940129721171,0.015364916773367543,-0.1885897663875308,-0.013379110384002468,0.0050334630456349005,-0.03322369600046693,-0.03284007771562364,-0.04756702244678422,-249
656,0.0,435,4269,5763,Roland Garros,28/05/2018,1,0.05347903454135572,-0.037170270353905854,-0.006485346802589276,0.008243881441814982,0.000897249211771034,0.027186711522287577,-0.13737968770601416,0.057884889466513434,-0.01736641775284975,-0.01481118733749709,-0.004815831565848416,-0.006567305895682121,-174
312,0.0,11,6219,26414,Roland Garros,28/05/2018,1,-0.014873229690802292,0.024560664560664636,0.04229564793756602,0.030496135972307936,0.03012276203882236,0.010198135198135339,0.003313036571990502,0.05538746643470366,-0.041771463030784384,0.02845656866505719,0.03868601783719278,0.05895270463736513,348
668,0.0,487,4467,5442,Roland Garros,28/05/2018,0,-0.0380400461463708,-0.014242483847289655,-0.010525666015502089,0.0012788632340848816,-0.006174424063102202,-0.06882846217216498,0.07231502006989848,-0.03743672326582001,-0.011843742330633789,-0.019535697696522636,-0.012850515924495598,-0.01825683446243786,-229
173,0.0,107,6284,11547,Roland Garros,28/05/2018,0,-0.030471164993099875,-0.0035793558264467507,0.005184825725901843,-0.0011416806018812453,-0.00324660790109621,0.013343417427475524,-0.0738126393837173,0.033579253441142126,-0.0117002775428523,-0.006723906377150035,-0.0053084232673845655,-0.007865586979031274,53
153,1.0,225,5986,644,Roland Garros,28/05/2018,0,0.016770469540713706,-0.07748695154392693,-0.014522333783595354,0.013939478879066991,-0.007602751137247954,-0.013594771241830117,-0.3492802860481696,-0.07183358934595513,-0.03960758928139552,-0.05138182128265456,-0.027034910491478104,-0.03744234240358758,-292
833,0.0,34,4742,9719,Roland Garros,28/05/2018,1,0.047220759867126705,0.0349914195701585,0.02431829939233976,0.055540053865474226,0.05033424015200927,0.08283313325330138,-0.21125658965000105,-0.01904556351530029,-0.02856932525406608,0.03813837468300563,0.06264096036657996,0.09367842854847984,500
174,-1.0,491,6029,4728,Roland Garros,28/05/2018,1,-0.0432620772132698,-0.1135851291954516,-0.027198518384287218,0.03572727409924026,-0.00515049023426517,0.0007959360441977537,-0.7287415898044693,-0.00420697426230654,-0.09472782589699102,-0.08935742753554254,-0.0388875643062781,-0.053630153436302286,-48
544,-0.3333333333333333,648,4921,5220,Roland Garros,28/05/2018,0,0.02707468958247039,-0.0947506405340891,-0.04955701572179422,0.0064134241538890135,-0.019622852486074538,-0.004652323892520016,-0.4503790359413109,0.11220967416138125,-0.04888195675484175,-0.06977506129798794,-0.04439046308418382,-0.06336163714409893,-109
